0903686962;Sebastián Paredes;H;sOltero;2015-01-14;022522561;La vicentina;sebas.a@p.com
0983686965;Sebastián;null;Casado;1925-01-14;012522565;La vicentina;sasd@.p.com
0903686968;GusTAvo;H;casadito;1924-01-14;032522565;La vicentina;asd@p.com
2903686968;Sebastián asd;Hytu6s;divorciado;1998-01-14;20522565;La vicentina;sant@palm.com
1705927240;Ricardo;H;divorsiado;1998-01-14;082522565;La vicentina;s-sd@p.com
1705927240;Ricardo Paredes;H;VIUDO;1998-01-14;2522565;La vicentina;s_asd@p.com
9999999999;;;;;;;
1705927240;María Zapanta;M;nULL;1998-01-14;2522565;La vicentina;s@p.com
1721256350;Sebastián asd;H;EN UNION DE HECHO;1998-01-14;2522565;La vicentina;s @p.com
1710689009;Sebastián asd;NUll; ;1998-01-14;2522565;La vicentina;sebas.a@p.com
1721256350asd;Sebastián 43;;nul;1998-01-14;2522565;La vicentina;sebas.a@p.com
0903686968ÑCS;Sebastián ret;I;jkl;1998-01-14;2522565;Lavicentina;sebas.a@p.com
K8932.0903686968ÑCS;ááBastián /try;Y;jkl;19u98-01-14;2522565;Lavicentina;sebas.a@.peer.com
1721256350/(asd;Sebastiñn yty;);jkl;1926-01-16;0998770476;La vicentina;sebas.a.@pasdas.com
1721256350;Sebastián &/(;M;jkl;1925-01-14;0998770474;La vicentina;sebas.a@p.com

